iter	Passed	Remaining
1317	28738	123894
1318	28768	123906
1319	28793	123899
1320	28819	123893
1321	28844	123886
1322	28873	123896
1323	28899	123892
1324	28927	123898
1325	28964	123940
1326	28992	123944
1327	29018	123942
1328	29044	123936
1329	29069	123929
1330	29094	123921
1331	29120	123917
1332	29147	123915
1333	29174	123913
1334	29201	123912
1335	29226	123904
1336	29249	123888
1337	29276	123889
1338	29300	123875
1339	29330	123886
1340	29359	123897
1341	29388	123906
1342	29414	123899
1343	29442	123904
1344	29469	123901
1345	29492	123887
1346	29519	123887
1347	29551	123904
1348	29579	123909
1349	29606	123907
1350	29631	123899
1351	29657	123895
1352	29683	123891
1353	29713	123900
1354	29738	123893
1355	29764	123886
1356	29791	123885
1357	29816	123878
1358	29844	123880
1359	29869	123871
1360	29897	123873
1361	29926	123880
1362	29953	123881
1363	29977	123867
1364	30007	123876
1365	30031	123863
1366	30055	123851
1367	30082	123848
1368	30108	123842
1369	30135	123840
1370	30161	123835
1371	30186	123826
1372	30212	123821
1373	30240	123822
1374	30266	123816
1375	30292	123813
1376	30322	123821
1377	30348	123815
1378	30378	123827
1379	30407	123832
1380	30434	123830
1381	30458	123815
1382	30487	123823
1383	30512	123815
1384	30537	123801
1385	30561	123790
1386	30586	123780
1387	30611	123770
1388	30640	123777
1389	30668	123778
1390	30693	123766
1391	30720	123764
1392	30745	123755
1393	30773	123756
1394	30796	123739
1395	30822	123732
1396	30847	123721
1397	30872	123709
1398	30899	123708
1399	30928	123714
1400	30954	123708
1401	30982	123708
1402	31006	123695
1403	31035	123701
1404	31062	123695
1405	31091	123700
1406	31119	123702
1407	31146	123700
1408	31172	123695
1409	31199	123690
1410	31228	123697
1411	31256	123699
1412	31286	123707
1413	31315	123711
1414	31344	123714
1415	31371	123714
1416	31399	123713
1417	31428	123720
1418	31455	123714
1419	31482	123713
1420	31508	123707
1421	31535	123703
1422	31563	123702
1423	31589	123695
1424	31615	123690
1425	31642	123684
1426	31669	123683
1427	31695	123675
1428	31726	123685
1429	31756	123694
1430	31783	123690
1431	31810	123686
1432	31842	123703
1433	31869	123700
1434	31897	123700
1435	31924	123697
1436	31952	123695
1437	31979	123690
1438	32007	123693
1439	32034	123690
1440	32065	123699
1441	32093	123699
1442	32121	123699
1443	32146	123690
1444	32172	123681
1445	32198	123674
1446	32227	123675
1447	32256	123679
1448	32282	123672
1449	32310	123670
1450	32337	123665
1451	32362	123655
1452	32389	123651
1453	32419	123657
1454	32447	123655
1455	32475	123655
1456	32502	123651
1457	32528	123645
1458	32557	123645
1459	32583	123637
1460	32610	123634
1461	32638	123634
1462	32664	123623
1463	32688	123609
1464	32716	123609
1465	32743	123604
1466	32771	123601
1467	32795	123587
1468	32824	123590
1469	32851	123585
1470	32877	123576
1471	32905	123575
1472	32933	123572
1473	32961	123573
1474	32987	123563
1475	33019	123578
1476	33049	123581
1477	33075	123573
1478	33102	123567
1479	33132	123576
1480	33161	123577
1481	33188	123573
1482	33215	123566
1483	33247	123581
1484	33275	123577
1485	33303	123578
1486	33331	123576
1487	33358	123570
1488	33382	123554
1489	33410	123553
1490	33437	123546
1491	33463	123535
1492	33486	123518
1493	33509	123496
1494	33533	123479
1495	33555	123456
1496	33578	123434
1497	33601	123414
1498	33624	123393
1499	33647	123373
1500	33669	123349
1501	33692	123328
1502	33715	123307
1503	33738	123288
1504	33760	123266
1505	33783	123244
1506	33806	123225
1507	33829	123203
1508	33852	123184
1509	33875	123163
1510	33899	123145
1511	33922	123124
1512	33947	123111
1513	33969	123090
1514	33992	123069
1515	34015	123048
1516	34038	123028
1517	34061	123007
1518	34084	122987
1519	34107	122965
1520	34129	122942
1521	34152	122922
1522	34176	122904
1523	34199	122884
1524	34222	122863
1525	34244	122840
1526	34268	122822
1527	34291	122802
1528	34315	122787
1529	34339	122767
1530	34361	122744
1531	34383	122721
1532	34407	122703
1533	34430	122683
1534	34452	122661
1535	34476	122641
1536	34497	122617
1537	34520	122596
1538	34543	122573
1539	34567	122557
1540	34590	122535
1541	34613	122516
1542	34636	122496
1543	34658	122472
1544	34681	122451
1545	34704	122429
1546	34726	122407
1547	34749	122386
1548	34771	122363
1549	34794	122342
1550	34817	122321
1551	34839	122298
1552	34863	122279
1553	34886	122259
1554	34910	122241
1555	34933	122221
1556	34956	122203
1557	34979	122180
1558	35002	122161
1559	35025	122140
1560	35048	122117
1561	35070	122094
1562	35093	122076
1563	35122	122076
1564	35154	122087
1565	35185	122092
1566	35208	122072
1567	35231	122052
1568	35254	122031
1569	35276	122008
1570	35299	121987
1571	35322	121965
1572	35345	121946
1573	35369	121927
1574	35391	121905
1575	35414	121884
1576	35438	121864
1577	35460	121841
1578	35483	121819
1579	35506	121799
1580	35529	121779
1581	35552	121758
1582	35574	121736
1583	35597	121714
1584	35620	121694
1585	35643	121673
1586	35666	121653
1587	35689	121632
1588	35712	121612
1589	35735	121592
1590	35759	121571
1591	35782	121551
1592	35805	121531
1593	35827	121507
1594	35850	121488
1595	35873	121467
1596	35895	121443
1597	35918	121422
1598	35941	121401
1599	35964	121378
1600	35987	121360
1601	36010	121338
1602	36032	121315
1603	36055	121293
1604	36077	121271
1605	36101	121253
1606	36125	121235
1607	36148	121215
1608	36172	121195
1609	36194	121172
1610	36217	121153
1611	36240	121132
1612	36263	121111
1613	36287	121091
1614	36310	121070
1615	36333	121050
1616	36355	121027
1617	36378	121005
1618	36400	120982
1619	36422	120959
1620	36445	120937
1621	36467	120915
1622	36490	120894
1623	36514	120874
1624	36536	120852
1625	36559	120831
1626	36582	120809
1627	36605	120789
1628	36628	120768
1629	36651	120747
1630	36674	120725
1631	36697	120705
1632	36720	120684
1633	36742	120661
1634	36766	120643
1635	36789	120621
1636	36811	120599
1637	36834	120578
1638	36856	120554
1639	36881	120540
1640	36904	120518
1641	36926	120495
1642	36949	120472
1643	36971	120450
1644	36994	120427
1645	37017	120407
1646	37039	120384
1647	37062	120362
1648	37084	120340
1649	37107	120319
1650	37130	120297
1651	37153	120276
1652	37176	120256
1653	37198	120232
1654	37221	120211
1655	37244	120189
1656	37267	120168
1657	37290	120146
1658	37313	120127
1659	37336	120105
1660	37359	120085
1661	37381	120061
1662	37404	120039
1663	37427	120020
1664	37451	120000
1665	37474	119980
